name,symbol
IET國票55購01,737038
IET國票55購03,700117
IET國票56購01,701809
IET國票57購01,739597
IET國票57購02,702579
IET永豐54購01,737027
IET永豐55購01,701856
IET永豐56購01,701232
IET永豐56購02,702643
IET群益56售01,72374U
IET群益58購01,737106
IKKA-KY,2250
ITH元大55購01,045641
ITH兆豐56購01,083282
ITH凱基55購01,045749
ITH國票56購01,043106
ITH國票5A購01,061784
ITH永豐57購01,047572
ITH永豐5B購01,062053
ITH統一55購01,081131
ITH統一55購02,081499
ITH統一56購01,077735
ITH統一56購02,083514
ITH群益57購01,047462
LINEPAY,7722
M31,6643
M31元大56購01,700102
M31元大56購02,700153
M31元大56購03,702357
M31元大57購01,703805
M31元大57購02,703806
M31元大57購03,703807
M31元大58購01,704698
M31元大59購01,739045
M31元大59購02,706299
M31元大59購03,706300
M31元大5A購01,707871
M31元大5A購02,707872
M31元大61購01,707873
M31元大63購01,707874
M31元富55購01,701492
M31元富55購02,701493
M31元富56購01,701494
M31元富57購01,702205
M31元富59購01,706267
M31元富59購02,706268
M31元富5A購01,706269
M31凱基55購01,701458
M31凱基56購01,702379
M31凱基56購02,702475
M31凱基57購01,703705
M31凱基57購02,703769
M31凱基59購01,706242
M31凱基59購02,706243
M31凱基59購03,706244
M31凱基5A購01,704687
M31凱基5A購02,707861
M31凱基5A購03,707862
M31凱基5B購01,706245
M31國泰56購01,701850
M31國票54購02,739977
M31國票56購01,701409
M31國票56購02,701533
M31國票57售01,72589U
M31國票58購01,703784
M31國票5A購01,706288
M31富邦55購01,738264
M31富邦55購02,738638
M31富邦56購01,700249
M31富邦56購02,701548
M31富邦58購01,702319
M31富邦58購02,703197
M31富邦5B購01,706283
M31富邦5C購01,707894
M31永豐55購01,700139
M31永豐58購01,703742
M31永豐5A購01,704715
M31永豐5B購01,706259
M31永豐5C購01,706260
M31統一56購01,734869
M31統一56購02,735387
M31統一58購01,730399
M31統一58購02,730400
M31統一58購03,700184
M31統一59購01,729170
M31統一5B購01,738281
M31統一5C購01,738282
M31統一5C購02,738736
M31統一5C購03,738931
M31統一61購01,729171
M31統一61購02,729172
M31統一61購03,736427
M31統一62購01,730401
M31統一62購02,730402
M31統一62購03,730403
M31統一62購04,738737
M31統一63購01,732269
M31統一63購02,732332
M31統一63購03,706282
M31群益57購01,703795
M31群益59購01,706271
NASDAQ凱基56購01,048823
Q BURGER,7797
S&P反1中信64購01,063108
S&P反1元大56購01,063214
S&P反1凱基55購01,081595
S&P反1國票55購01,081523
S&P反1國票55購02,037731
S&P反1國票57購01,046447
S&P反1國票58購01,046448
S&P反1國票5A購01,041482
S&P正2中信5B售01,06914U
S&P正2中信64售01,08932U
S&P正2元大56購01,050144
S&P正2元大57售01,07889U
S&P正2元大57購02,053764
S&P正2元大58售02,08053U
S&P正2元大58購01,052368
S&P正2元大5B購01,063234
S&P正2凱基55購01,044508
S&P正2凱基56售01,06939U
S&P正2凱基57售02,07831U
S&P正2凱基57購01,049178
S&P正2凱基58購01,043625
S&P正2凱基5B售01,03033T
S&P正2國票55售01,06119U
S&P正2國票57購01,041481
S&P正2國票59售01,08691U
S&P正2國票5A售01,08831U
SGBR2X中信57購01,031778
SGBR2X中信5A購01,042027
SGBR2X中信5C購01,049216
SGBR2X中信63購01,059001
SGBR2X中信63購02,059850
SGBR2X中信63購03,060171
SGBR2X中信63購04,061067
SGBR2X中信64購01,062159
SGBR2X中信64購02,063109
SGBR2X元大55售03,06791U
SGBR2X元大55購01,037285
SGBR2X元大55購02,042176
SGBR2X元大56購01,042177
SGBR2X元大56購02,049565
SGBR2X元大57購01,049566
SGBR2X元大58購01,049567
SGBR2X元大58購02,057323
SGBR2X元大59售05,08509U
SGBR2X元大59售08,08559U
SGBR2X元大59售11,08639U
SGBR2X元大59購01,057324
SGBR2X元大59購02,057325
SGBR2X元大59購03,058152
SGBR2X元大59購04,058153
SGBR2X元大59購06,058647
SGBR2X元大59購07,058648
SGBR2X元大59購09,059287
SGBR2X元大59購10,059288
SGBR2X元大59購12,059692
SGBR2X元大5A售03,08680U
SGBR2X元大5A售05,08758U
SGBR2X元大5A購01,059289
SGBR2X元大5A購02,059693
SGBR2X元大5A購04,060622
SGBR2X元大5A購06,063236
SGBR2X元大5B購01,058649
SGBR2X元大5B購02,059694
SGBR2X元大5B購03,063607
SGBR2X元富56售02,03828U
SGBR2X元富56購01,084392
SGBR2X元富58購02,055923
SGBR2X元富59購01,058949
SGBR2X元富59購02,058950
SGBR2X元富59購03,058951
SGBR2X元富59購04,059279
SGBR2X元富5A購01,041318
SGBR2X元富63購01,059280
SGBR2X凱基55售02,06855U
SGBR2X凱基55購01,042288
SGBR2X凱基56售04,07799U
SGBR2X凱基56購01,042588
SGBR2X凱基56購02,049476
SGBR2X凱基59售03,08586U
SGBR2X凱基59購01,057669
SGBR2X凱基59購02,058353
SGBR2X凱基59購04,058796
SGBR2X凱基59購05,058797
SGBR2X凱基5A購01,055783
SGBR2X凱基5A購02,057245
SGBR2X凱基5A購03,061113
SGBR2X凱基5A購04,063117
SGBR2X凱基5A購05,063705
SGBR2X凱基5A購06,064739
SGBR2X凱基5B售02,08982U
SGBR2X凱基5B購01,058261
SGBR2X凱基5B購03,064279
SGBR2X凱基5B購04,064280
SGBR2X凱基61購01,058577
SGBR2X凱基63購01,059134
SGBR2X凱基63購02,060026
SGBR2X凱基63購03,060027
SGBR2X國泰55購01,041744
SGBR2X國泰55購02,041971
SGBR2X國泰59購01,055374
SGBR2X國泰5A購01,059427
SGBR2X國泰5A購02,061552
SGBR2X國泰5A購03,061553
SGBR2X國泰5C購01,058407
SGBR2X國票56購01,039772
SGBR2X國票56購03,048643
SGBR2X國票59售03,08635U
SGBR2X國票59售06,08693U
SGBR2X國票59售07,08729U
SGBR2X國票59購01,058121
SGBR2X國票59購02,059265
SGBR2X國票59購04,059486
SGBR2X國票59購05,059826
SGBR2X國票5A購01,058122
SGBR2X國票5A購02,059827
SGBR2X國票5A購03,062226
SGBR2X富邦57購01,039628
SGBR2X富邦5A購01,063075
SGBR2X富邦5C購01,049465
SGBR2X富邦63售04,08670U
SGBR2X富邦63購01,056839
SGBR2X富邦63購02,057202
SGBR2X富邦63購03,059578
SGBR2X富邦63購05,061267
SGBR2X富邦64購01,063080
SGBR2X永豐56購01,042042
SGBR2X永豐58購01,055367
SGBR2X永豐5C購01,059011
SGBR2X永豐61購01,061305
SGBR2X統一61購01,055635
SGBR2X統一63購01,059218
SGBR2X統一63購02,059219
SGBR2X統一66購01,055636
SGBR2X統一67購01,058603
SGBR2X統一73購01,058604
SGBR2X統一73購02,058830
SGBR2X群益54購05,042398
SGBR2X群益54購06,042563
SGBR2X群益55購01,042977
SGBR2X群益59購01,058213
SGBR2X群益59購02,058525
SGBR2X群益59購03,058964
SGBR2X群益59購04,060392
SGBR2X群益59購05,060393
SGBR2X群益59購06,061361
SGBR2X群益5A購01,055294
SGBR2X群益5A購02,063000
SGBR2X群益5A購03,064046
SGBR2X群益5B售02,08786U
SGBR2X群益5B售04,08800U
SGBR2X群益5B購01,058214
SGBR2X群益5B購03,061362
SGBR2X群益5C售02,08256U
SGBR2X群益5C購01,050193
SGBR2X群益5C購03,063185
SGBR2X群益61售02,08516U
SGBR2X群益61購01,058215
SGBR2X群益63售04,08643U
SGBR2X群益63售05,08787U
SGBR2X群益63售06,08801U
SGBR2X群益63購01,058696
SGBR2X群益63購02,059114
SGBR2X群益63購03,059338
SGBR2X群益63購07,061407
SGBR2X群益64購01,062245
SP黃豆元大54購01,034418
SP黃豆元大55售02,06878U
SP黃豆元大55購01,036539
SP黃豆元大56購01,043678
SP黃豆元大57購01,043493
SP黃豆元大57購02,053337
SP黃豆元大58購01,052509
SP黃豆元大59購01,037755
SP黃豆元大5C購01,064702
SP黃豆元富54購02,042462
SP黃豆元富59購01,057704
SP黃豆凱基55購01,034678
SP黃豆凱基55購02,038598
SP黃豆凱基55購03,039395
SP黃豆凱基58購01,032876
SP黃豆凱基59售02,08149U
SP黃豆凱基59購01,038196
SP黃豆凱基5B購01,052066
SP黃豆凱基5C購01,040200
SP黃豆凱基61購01,064278
SP黃豆凱基63購01,058259
SP黃豆凱基66購01,064926
SP黃豆國泰58購01,051756
SP黃豆國票55購01,031729
SP黃豆國票58購01,032051
SP黃豆國票5A購01,038782
SP黃豆國票5B購01,034345
SP黃豆國票5B購02,042662
SP黃豆永豐55購01,042040
SP黃豆永豐56購01,041220
SP黃豆永豐57購01,043810
SP黃豆統一61購01,055628
SP黃豆統一66購01,055629
SP黃豆群益55購01,041582
SP黃豆群益59購01,042686
SP黃豆群益5C購01,041804
SP黃豆群益5C購02,062244
SP黃豆群益61售02,08827U
SP黃豆群益61購01,042975
SP黃豆群益62購01,055292
SP黃豆群益62購02,056156
SP黃豆群益62購03,062122
SP黃豆群益63購01,060489
SP黃豆群益66購01,057374
T50反1中信56購01,082640
T50反1中信57購01,087293
T50反1中信57購02,089854
T50反1中信5A購01,078644
T50反1中信5A購02,039353
T50反1中信5B購01,079827
T50反1中信5B購02,080121
T50反1中信5B購03,043396
T50反1中信5B購04,045465
T50反1中信5C購01,085788
T50反1中信5C購02,048096
T50反1中信62購01,030766
T50反1中信62購02,033041
T50反1中信63購01,037642
T50反1中信63購02,058543
T50反1中信63購03,059654
T50反1中信63購04,059977
T50反1中信63購05,059978
T50反1中信63購06,061796
T50反1中信64購01,039575
T50反1中信64購02,040985
T50反1中信64購03,063342
T50反1中信65購01,065453
T50反1中信66購01,049833
T50反1中信69購01,058763
T50反1元大55購01,088487
T50反1元大55購02,032098
T50反1元大55購03,034570
T50反1元大55購04,041980
T50反1元大55購05,042928
T50反1元大56購01,089798
T50反1元大56購02,032589
T50反1元大56購04,047291
T50反1元大56購05,048209
T50反1元大56購06,050141
T50反1元大56購07,050142
T50反1元大57售04,07888U
T50反1元大57購01,031461
T50反1元大57購02,036249
T50反1元大57購03,039485
T50反1元大57購05,051463
T50反1元大57購06,053973
T50反1元大57購07,054987
T50反1元大57購08,054988
T50反1元大58購01,039144
T50反1元大58購02,048210
T50反1元大58購03,051464
T50反1元大58購04,053069
T50反1元大59購01,038655
T50反1元大59購02,053974
T50反1元大59購03,059439
T50反1元大59購04,061498
T50反1元大5A購01,044323
T50反1元大5A購02,050143
T50反1元大5A購03,061499
T50反1元大5A購04,061500
T50反1元大5B購01,031462
T50反1元大5B購02,032590
T50反1元大5B購03,041263
T50反1元大5B購04,051465
T50反1元大5B購05,054347
T50反1元大5C購01,032591
T50反1元大5C購02,039145
T50反1元大5C購03,042929
T50反1元大5C購05,051466
T50反1元大61購03,044911
T50反1元大61購04,053975
T50反1元大61購05,058147
T50反1元大62購03,045414
T50反1元大62購04,054348
T50反1元大63購06,053070
T50反1元大63購07,058148
T50反1元大63購08,060620
T50反1元大64購09,053071
T50反1元大64購10,060621
T50反1元大65購06,062455
T50反1元富54購05,042321
T50反1元富55購01,056318
T50反1元富55購02,080649
T50反1元富55購03,032041
T50反1元富55購04,045477
T50反1元富55購05,045478
T50反1元富55購06,045653
T50反1元富56購01,084589
T50反1元富56購02,084591
T50反1元富56購03,046410
T50反1元富56購04,046411
T50反1元富56購05,048698
